,timestamp,open,close,volume,trades,bsk,ewm8,ewm13,ewm21,ewm55,StotchRSI
0,2017-08-17,4261.48,4285.08,795.1504,3427,1,4285.08,4285.08,4285.08,4285.08,
1,2017-08-18,4285.08,4108.37,1199.8883,5233,0,4245.8111,4259.8357,4269.0155,4278.7689,
2,2017-08-19,4108.37,4139.98,381.3098,2153,0,4222.2931,4242.7135,4257.285,4273.8122,
3,2017-08-20,4120.98,4086.29,467.083,2321,0,4192.0702,4220.3673,4241.74,4267.115,
4,2017-08-21,4069.13,4016.0,691.7431,3972,0,4152.9435,4191.1719,4221.2181,4258.1466,
5,2017-08-22,4016.0,4040.0,966.6849,6494,0,4127.8449,4169.5759,4204.7438,4250.3556,
6,2017-08-23,4040.0,4114.01,1001.1366,8629,0,4124.7705,4161.638,4196.4952,4245.4861,
7,2017-08-24,4147.0,4316.01,787.4188,6247,0,4167.2682,4183.6911,4207.3602,4248.0048,
8,2017-08-25,4316.01,4280.68,573.6127,6554,0,4192.4708,4197.5467,4214.0257,4249.1718,
9,2017-08-26,4280.71,4337.44,228.1081,2260,0,4224.6862,4217.5314,4225.2451,4252.3242,
10,2017-08-27,4332.51,4310.01,350.6926,3670,0,4243.647,4230.7426,4232.951,4254.3845,
11,2017-08-28,4310.01,4386.69,603.8416,4349,0,4275.4344,4253.0208,4246.9273,4259.1097,
12,2017-08-29,4353.65,4587.48,603.545,4159,0,4344.7778,4300.8007,4277.8866,4270.8372,
13,2017-08-30,4564.52,4555.14,808.4688,5551,0,4391.525,4337.1349,4303.0915,4280.9908,
14,2017-08-31,4555.14,4724.89,556.9568,4161,0,4465.6061,4392.5285,4341.4368,4296.8444,
15,2017-09-01,4689.89,4834.91,560.6664,4000,2,4547.6736,4455.7258,4386.298,4316.061,
16,2017-09-02,4796.16,4472.14,929.1486,7475,0,4530.8884,4458.0707,4394.1018,4321.6353,
17,2017-09-03,4508.5,4509.08,691.2162,6022,0,4526.0421,4465.3578,4404.5544,4328.3297,
